title,rating,is_successful
10 Things I Hate About You,,0
12,,0
12 and Holding,,0
12 Monkeys,,0
12 Years a Slave,,0
127 Hours,,0
1492: Conquest of Paradise,,0
15 Minutes,,0
17 Again,,0
187,,0
2001: A Space Odyssey,,0
2012,,0
25th Hour,,0
30 Minutes or Less,,0
42,,0
44 Inch Chest,,0
48 Hrs.,,0
50-50,,0
500 Days of Summer,,0
8MM,,0
9,,0
A Few Good Men,,0
A Serious Man,,0
Above the Law,,0
Absolute Power,,0
"Abyss, The",,0
Ace Ventura: Pet Detective,,0
Adaptation,,0
"Addams Family, The",,0
"Adjustment Bureau, The",,0
"Adventures of Buckaroo Banzai Across the Eighth Dimension, The",,0
Affliction,,0
After School Special,,0
After.Life,,0
Agnes of God,,0
Air Force One,,0
Airplane,,0
Airplane 2: The Sequel,,0
Aladdin,,0
Ali,,0
Alien 3,,0
Alien Nation,,0
Alien vs. Predator,,0
Alien: Resurrection,,0
Aliens,,0
All About Eve,,0
All About Steve,,0
All the King's Men,,0
All the President's Men,,0
Almost Famous,,0
Alone in the Dark,,0
Amadeus,,0
Amelia,,0
American Beauty,,0
American Gangster,,0
American Graffiti,,0
American History X,,0
American Hustle,,0
American Madness,,0
American Outlaws,,0
American Pie,,0
"American President, The",,0
American Psycho,,0
American Shaolin: King of Kickboxers II,,0
American Splendor,,0
American Werewolf in London,,0
"American, The",,0
"Amityville Asylum, The",,0
Amour,,0
An Education,,0
Analyze That,,0
Analyze This,,0
Anastasia,,0
Angel Eyes,,0
Angels & Demons,,0
Anna Karenina,,0
Annie Hall,,0
"Anniversary Party, The",,0
Anonymous,,0
Antitrust,,0
Antz,,0
"Apartment, The",,0
Apocalypse Now,,0
April Fool's Day,,0
Apt Pupil,,0
Arbitrage,,0
Arcade,,0
Arctic Blue,,0
Argo,,0
Armageddon,,0
Army of Darkness,,0
Arsenic and Old Lace,,0
Arthur,,0
"Artist, The",,0
As Good As It Gets,,0
Assassins,,0
"Assignment, The",,0
At First Sight,,0
August: Osage County,,0
Austin Powers - International Man of Mystery,,0
Austin Powers - The Spy Who Shagged Me,,0
Authors Anonymous,,0
Autumn in New York,,0
Avatar,,0
"Avengers, The",,0
"Avengers, The (2012)",,0
"Avventura, L' (The Adventure)",,0
Awakenings,,0
Babel,,0
Bachelor Party,,0
"Bachelor Party, The",,0
"Back-up Plan, The",,0
