feature,coef,clean_feature
word_tfidf__00,0.007275373174674,word: 00
word_tfidf__000,0.00780147759247263,word: 000
word_tfidf__01,0.03593181352263075,word: 01
word_tfidf__02,0.08752441117677043,word: 02
word_tfidf__03,0.0380693503038738,word: 03
word_tfidf__03 22,-0.028882518667933055,word: 03 22
word_tfidf__04,-0.09019262174334361,word: 04
word_tfidf__05,-0.08028631498546866,word: 05
word_tfidf__05 14,0.07217021613358811,word: 05 14
word_tfidf__06,0.0483889111677385,word: 06
word_tfidf__08,-0.02117483309283906,word: 08
word_tfidf__09,-0.061427235052901014,word: 09
word_tfidf__09 17,0.053818331512182294,word: 09 17
word_tfidf__10,0.08545693811697676,word: 10
word_tfidf__10 03,0.1737843409733319,word: 10 03
word_tfidf__10 09,-0.061370871003055515,word: 10 09
word_tfidf__10 int,0.023627598526310554,word: 10 int
word_tfidf__100,-0.04870955996584191,word: 100
word_tfidf__101,-0.03603234463619138,word: 101
word_tfidf__102,-0.050353249620379716,word: 102
word_tfidf__103,-0.03245182722430521,word: 103
word_tfidf__104,-0.026167810373315392,word: 104
word_tfidf__105,-0.03910734889842129,word: 105
word_tfidf__106,-0.05925996035190714,word: 106
word_tfidf__107,-0.018286938483139246,word: 107
word_tfidf__108,-0.04482554134374127,word: 108
word_tfidf__109,-0.026441062018573068,word: 109
word_tfidf__11,0.003931266529958071,word: 11
word_tfidf__11 10,-0.022981939730708324,word: 11 10
word_tfidf__11 int,-0.008242034155249857,word: 11 int
word_tfidf__110,-0.026845684528292574,word: 110
word_tfidf__111,0.03836535217860249,word: 111
word_tfidf__112,-0.01778672588694604,word: 112
word_tfidf__113,-0.009241409496521498,word: 113
word_tfidf__114,0.007403213072234327,word: 114
word_tfidf__115,-0.019973475703869675,word: 115
word_tfidf__116,-0.02965031879874918,word: 116
word_tfidf__117,-0.023582730404862737,word: 117
word_tfidf__118,-0.003077973892677034,word: 118
word_tfidf__119,-0.005923466498345811,word: 119
word_tfidf__12,0.07753697971954514,word: 12
word_tfidf__12 int,-0.03350968179024307,word: 12 int
word_tfidf__120,0.07338243677381252,word: 120
word_tfidf__121,-0.007880715519121388,word: 121
word_tfidf__122,-0.012516695792253328,word: 122
word_tfidf__123,0.04587121876467533,word: 123
word_tfidf__124,0.006854497063561683,word: 124
word_tfidf__125,-0.006304907419531878,word: 125
word_tfidf__126,0.03502165225316942,word: 126
word_tfidf__127,-0.012453158288739734,word: 127
word_tfidf__128,-0.0448544291056028,word: 128
word_tfidf__129,0.015497077981346656,word: 129
word_tfidf__13,0.09040074588385554,word: 13
word_tfidf__13 int,0.06726263441326158,word: 13 int
word_tfidf__130,-0.029365093722368476,word: 130
word_tfidf__131,0.03013019147940932,word: 131
word_tfidf__132,-0.02516996831405688,word: 132
word_tfidf__133,0.06443344409827567,word: 133
word_tfidf__134,0.043866889683409856,word: 134
word_tfidf__135,0.03538550962199471,word: 135
word_tfidf__136,0.04289059104913382,word: 136
word_tfidf__137,0.06217039360460129,word: 137
word_tfidf__138,0.09953229325679579,word: 138
word_tfidf__139,0.0847405344924359,word: 139
word_tfidf__14,0.025878650204625542,word: 14
word_tfidf__14 int,0.01603211092694205,word: 14 int
word_tfidf__140,0.15970600467729892,word: 140
word_tfidf__141,0.07305275441413749,word: 141
word_tfidf__142,0.11522219132671689,word: 142
word_tfidf__143,0.08509547823175605,word: 143
word_tfidf__144,0.11726900551325722,word: 144
word_tfidf__145,0.08113576111252375,word: 145
word_tfidf__146,0.10231464098287761,word: 146
word_tfidf__147,0.11611101513074419,word: 147
word_tfidf__148,0.08500494245183365,word: 148
word_tfidf__149,0.03202461313462961,word: 149
word_tfidf__15,-0.013852094245853342,word: 15
word_tfidf__15 int,0.10303532494783886,word: 15 int
word_tfidf__150,0.05254476087401937,word: 150
word_tfidf__151,0.05741564216395804,word: 151
word_tfidf__152,0.057797090830909476,word: 152
word_tfidf__153,0.056969325168197756,word: 153
